id,userId,yachtId,type,weight,createdAt,updatedAt
5987d489-aa3c-4d0a-9383-58ac6c04c594,3d2ed4da-6d82-4f44-a7c7-e8dcdb6332d9,eb6ec706-f623-447c-a09c-3163d8756a16,view,2,2025-01-03 08:54:58.142869,2025-01-03 08:54:58.142869
b0d83b1c-d7f4-4f20-9399-9546d56d09bf,048dfc3f-1f97-4e3c-b253-d285df84cfa3,da047c3e-e015-4eab-be1d-ee6f82ac69d8,view,2,2025-01-13 05:26:38.734072,2025-01-13 05:26:38.734072
f804c3fc-c250-4d9d-84b6-74e58b08a9e9,93eed134-3787-49c5-813c-42d3815f64c4,c2dbcb9c-708f-473e-8d1e-a25409c94613,wishlist,4,2025-01-14 05:12:31.460362,2025-01-14 05:12:31.460362
f2ff3f9b-64de-4233-8962-85cd9cd72df3,17c49940-92a5-4da4-8a1e-101089988f7a,7d5f1f33-b4ce-474c-bcf7-ceb25b249085,view,2,2025-01-14 08:50:46.464679,2025-01-14 08:50:46.464679
bb03d9af-8d6e-45e2-a898-b004fa5ac07c,3d2ed4da-6d82-4f44-a7c7-e8dcdb6332d9,f4ca2c49-50a0-4afd-b88a-cadf35f95354,view,2,2025-01-14 11:33:54.319845,2025-01-14 11:33:54.319845
4fcf8c16-a450-4cc5-9bae-3c37c80dfa32,17c49940-92a5-4da4-8a1e-101089988f7a,28b28c51-3ebd-4b26-9fd0-5542454c265c,view,2,2025-01-15 06:18:33.139329,2025-01-15 06:18:33.139329
a59b2b3f-cb31-4544-84f9-a83c89d3853b,75788a71-ea45-4577-85ed-277b8474d621,c98bbcf8-8282-465f-b9ea-eb8ad17b8873,view,2,2025-01-15 14:31:14.878168,2025-01-15 14:31:14.878168
f8602808-a92c-4298-9144-ec0ead718781,b4b31f4e-7cdc-4fd0-bca9-daea12b95677,da047c3e-e015-4eab-be1d-ee6f82ac69d8,view,2,2025-01-16 06:12:24.772701,2025-01-16 06:12:24.772701
010401ea-0033-4e4f-ac73-e9fc6443c1b3,d0328b72-5b95-4117-be1c-3fa2f7f72691,0fdc6ae8-7354-416b-8cdb-67e697deff47,view,2,2025-01-17 16:01:01.214431,2025-01-17 16:01:01.214431
eccf06dc-ac8d-4453-9ca7-371ac2ea3fe0,23ea1f0b-e055-4ae3-b9c4-7b7986643ba0,26e9d494-4489-4d99-93ff-787396e8e11b,view,2,2025-01-18 17:54:26.498941,2025-01-18 17:54:26.498941
151a47cb-71fa-4c32-a1fe-7df0c413282a,f90550c3-342f-4228-b03e-eb867c675b10,836980da-940a-4caa-a7f6-c11d7682d329,view,2,2025-01-18 21:22:09.468787,2025-01-18 21:22:09.468787
02e093c9-8107-4bf0-a3f4-448ec39df92b,e6f5a176-21ae-408d-a3c4-04c91c68d5dc,c98bbcf8-8282-465f-b9ea-eb8ad17b8873,view,2,2025-01-19 05:49:36.891993,2025-01-19 05:49:36.891993
939fe526-db63-4602-94e2-223b9b951deb,c2d43985-9384-48cb-a22d-e755e11d0991,486a8456-ab2f-48ca-bd22-3d0f06133790,view,2,2025-01-19 13:47:37.816169,2025-01-19 13:47:37.816169
850cfa9f-9b02-4d0e-8ce6-b68d4b1fc113,bb43ab60-03c9-4e41-a329-cddffe6a27d6,4d8581dd-ca31-4686-98ef-7a2a2194c406,view,2,2025-01-19 22:46:35.222490,2025-01-19 22:46:35.222490
c136aed6-3ece-4372-b839-a03ee68d3b56,5f96f9a8-0cb7-4d9b-bb50-58252078c79e,be0bf6c6-2bdb-404c-92fc-89567221061b,wishlist,4,2025-01-20 04:47:23.460824,2025-01-20 04:47:23.460824
212d57c8-80e0-4aeb-b70d-5a2386bee50d,75788a71-ea45-4577-85ed-277b8474d621,c2dbcb9c-708f-473e-8d1e-a25409c94613,view,2,2025-01-21 07:22:28.506310,2025-01-21 07:22:28.506310
c502f3e3-fe71-4baf-b6a4-51f366280ecc,4605dc36-1c64-45cc-8693-f34dd5439011,836980da-940a-4caa-a7f6-c11d7682d329,wishlist,4,2025-01-21 10:08:07.266675,2025-01-21 10:08:07.266675
b7523155-78a6-4fa9-a10e-0dd9683b9fb3,f9530423-7471-4772-a464-c90a14e50227,c98bbcf8-8282-465f-b9ea-eb8ad17b8873,wishlist,4,2025-01-21 13:38:43.327508,2025-01-21 13:38:43.327508
