id,userId,yachtId,type,weight,createdAt,updatedAt
cf973f7c-5a54-4354-9df0-406cd6c5c491,f1c76c09-e151-454e-a3ce-af1e3cac8369,c3bd248f-feb8-49b9-a176-efad19b5bba0,view,2,2025-01-04 02:52:05.464686,2025-01-04 02:52:05.464686
8d8b0e8e-77d8-410a-bbf2-a388f0c1c691,f1c76c09-e151-454e-a3ce-af1e3cac8369,c3bd248f-feb8-49b9-a176-efad19b5bba0,view,2,2025-01-04 06:43:47.953217,2025-01-04 06:43:47.953217
939af83e-2afb-4223-808e-94578404bf85,b21ff13a-0040-4edd-bfc9-d3efbc858d69,e81e2dab-5926-40d6-92b5-7bf72c9d8bf9,chatOwner,6,2025-01-06 01:41:21.563352,2025-01-06 01:41:21.563352
98f2f951-fe0e-4063-aaf8-ebd294089e4b,228d4b6c-1e65-4998-bce2-4b9a40cc9218,7ba30837-5347-44dd-8229-12479a113734,wishlist,4,2025-01-06 18:40:51.990479,2025-01-06 18:40:51.990479
164235e7-0d36-429f-b2b1-6da920184b7d,b21ff13a-0040-4edd-bfc9-d3efbc858d69,746a8817-cd02-45dd-bb97-d5990b116f33,chatOwner,6,2025-01-08 02:49:19.792970,2025-01-08 02:49:19.792970
3de6c5d2-7c05-4e41-9f7a-657d3ecfc8c2,7cd83d9b-dabb-4a60-aa4d-6466b1cbca27,b638e567-273a-40a6-8943-b266a21dbbd9,wishlist,4,2025-01-08 18:24:51.555439,2025-01-08 18:24:51.555439
5ba85dfa-42f4-497c-a8e9-16f8a1e697ae,0e70d095-94bd-4b81-a9d5-9076f32f3f43,7ef9d7d2-37d6-4faa-8a4e-7b16e8aba8a5,view,2,2025-01-09 21:00:53.913035,2025-01-09 21:00:53.913035
3c350831-4508-4c13-ada3-b1d1a6c734ea,f1c76c09-e151-454e-a3ce-af1e3cac8369,c3bd248f-feb8-49b9-a176-efad19b5bba0,view,2,2025-01-10 01:03:28.505147,2025-01-10 01:03:28.505147
09853cad-2a6b-41a7-a0c2-3421665f6fab,a833f884-3bac-496c-8b0e-ccea042738c8,d9bdf400-221c-42ff-87a7-8c499611d3d9,view,2,2025-01-11 05:45:43.664747,2025-01-11 05:45:43.664747
ab3e24cd-c979-468e-8a14-145bd7a5533a,b21ff13a-0040-4edd-bfc9-d3efbc858d69,b8e486b6-93c9-48e3-9efb-c804cbe1f631,view,2,2025-01-12 13:19:54.514558,2025-01-12 13:19:54.514558
